Sentence	MOR_Tier	Error_Flag
look that cafe look all them chairs there .	verb|look-Fin-Imp-S det|that-Def-Dem-Sing noun|cafe-Acc verb|look-Fin-Imp-S det|all-Def-Tot pron|they-Prs-Acc-P3 noun|chair-Plur-Acc adv|there .	No_Error_Present
who does ?	pron|who-Int aux|do-Fin-Ind-Pres-S3 ?	No_Error_Present
oh &-er this [/] this xxx fall down .	intj|oh det|this-Def-Dem-Sing noun|fall adv|down .	No_Error_Present
know sometimes he'll go too fast .	verb|know-Fin-Imp-S adv|sometimes pron|he-Prs-Nom-S3~aux|will-Fin-S verb|go-Inf-S adv|too adj|fast-S1 .	No_Error_Present
I'm trying to take it off mum .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|try-Part-Pres-S part|to verb|take-Inf-S pron|it-Prs-Acc-S3 adp|off noun|mum .	No_Error_Present
it [/] it tomes [: comes] off though .	pron|it-Prs-Nom-S3 verb|come-Fin-Ind-Pres-S3 adp|off adv|though .	No_Error_Present
how can it xxx now ?	adv|how aux|can-Fin-S pron|it-Prs-Nom-S3 adv|now ?	No_Error_Present
I'm phoning you mum .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|phone-Part-Pres-S pron|you-Prs-Acc-S2 noun|mum-Acc .	No_Error_Present
&-um mum what you doing (be)fore ?	noun|mum pron|what-Int-S1 pron|you-Prs-Nom-S2 verb|do-Part-Pres-S adv|before ?	No_Error_Present
<I put> [/] I put them out I did .	pron|I-Prs-Nom-S1 verb|put-Fin-Ind-Past-S1-irr pron|they-Prs-Acc-P3 adp|out pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Past-S1-irr .	No_Error_Present
xxx to the cafe my xxx are .	adp|to det|the-Def-Art noun|cafe pron|my-Prs-Gen-S1 aux|be-Fin-Ind-Pres-P3 .	No_Error_Present
&~aw where can we sit mum ?	adv|where aux|can-Fin-S pron|we-Prs-Nom-P1 verb|sit-Inf-S noun|mum-Acc ?	No_Error_Present
where can I sit ?	adv|where aux|can-Fin-S pron|I-Prs-Nom-S1 verb|sit-Inf-S ?	No_Error_Present
we can't sit on them tables though .	pron|we-Prs-Nom-P1 aux|can-Fin-S~part|not verb|sit-Inf-S adp|on pron|they-Prs-Acc-P3 noun|table-Plur adv|though .	No_Error_Present
yes they are in a minute .	intj|yes pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 adp|in det|a-Ind-Art noun|minute .	No_Error_Present
<they will be> [/] they will be in a minute .	pron|they-Prs-Nom-P3 aux|will-Fin-S aux|be-Inf-S adp|in det|a-Ind-Art noun|minute .	No_Error_Present
mum mum what are these for ?	noun|mum noun|mum pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 pron|this-Dem-P1 adp|for ?	No_Error_Present
then so &-er so &-er we won't (t)ip it over like that ?	adv|then adv|so adv|so pron|we-Prs-Nom-P1 aux|will-Fin-S~part|not verb|tip-Inf-S pron|it-Prs-Acc-S3 adp|over adp|like pron|that-Dem ?	No_Error_Present
so &-um we won't xxx it over there .	adv|so pron|we-Prs-Nom-P1 aux|will-Fin-S~part|not pron|it-Prs-Acc-S3 adp|over adv|there .	No_Error_Present
mum &-er mum that he's knocked that down .	noun|mum noun|mum sconj|that pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|knock-Part-Past-S pron|that-Dem adp|down .	No_Error_Present
now he's putting it back up now .	adv|now pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|put-Part-Pres-S pron|it-Prs-Acc-S3 adv|back adp|up adv|now .	No_Error_Present
I am (.) look .	pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Pres-S1 verb|look-Part-S .	No_Error_Present
you see you [/] you sit them down (.) <put them on> [/] put them on that one where +/.	pron|you-Prs-Nom-S2 verb|see-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|sit-Fin-Ind-Pres-S2 pron|they-Prs-Acc-P3 adp|down verb|put-Fin-S pron|they-Prs-Acc-P3 adp|on det|that-Def-Dem-Sing noun|one adv|where +/.	No_Error_Present
yeah where those two chair are .	intj|yeah adv|where det|that-Def-Dem-Plur num|two noun|chair aux|be-Fin-Ind-Pres-P3 .	No_Error_Present
mum he is going to the cafe now .	noun|mum pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S adp|to det|the-Def-Art noun|cafe adv|now .	No_Error_Present
xxx somewhere mum he xxx there .	adv|somewhere noun|mum pron|he-Prs-Nom-S3 adv|there .	No_Error_Present
xxx these just to the bin .	pron|this-Dem-P1 adv|just adp|to det|the-Def-Art noun|bin .	No_Error_Present
mum <he's put> [//] he has put one here .	noun|mum pron|he-Prs-Nom-S3 aux|have-Fin-Ind-Pres-S3 verb|put-Part-Past-S-irr num|one adv|here .	No_Error_Present
where's your phone ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|phone ?	No_Error_Present
&-er there it is .	pron|there-Int-S1 pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .	No_Error_Present
you do I phone you .	pron|you-Prs-Nom-S2 aux|do-Fin-Ind-Pres-S2 pron|I-Prs-Nom-S1 verb|phone-Inf-S pron|you-Prs-Acc-S2 .	No_Error_Present
&-er this tafe [: cafe] open yet ?	det|this-Def-Dem-Sing noun|cafe adj|open-S1 adv|yet ?	No_Error_Present
yeah man is who brings the chairs .	intj|yeah noun|man aux|be-Fin-Ind-Pres-S3 pron|who-Rel verb|bring-Fin-Ind-Pres-S3 det|the-Def-Art noun|chair-Plur-Acc .	No_Error_Present
&-er my friend's toming [: coming] today .	pron|my-Prs-Gen-S1 noun|friend~aux|be-Fin-Ind-Pres-S3 verb|come-Part-Pres-S noun|today .	No_Error_Present
I'm gonna buy lot &-er nana &-um and &-um and her and her +/.	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|go verb|buy-Inf-S noun|lot noun|nana-Acc cconj|and cconj|and pron|her-Prs-Acc-S3 cconj|and pron|her-Prs-Acc-S3 +/.	No_Error_Present
he hasta xxx hurry up now .	pron|he-Prs-Nom-S3 x|hasta verb|hurry-Fin-Ind-Pres-S3 adp|up adv|now .	No_Error_Present
when's Tate [: Kate] coming ?	adv|when~aux|be-Fin-Ind-Pres-S3 propn|Kate verb|come-Part-Pres-S ?	No_Error_Present
oh I don't wanna .	intj|oh pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|wanna-Inf-S .	No_Error_Present
<it's shutting> [//] it [//] it's shutting now .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|shut-Part-Pres-S adv|now .	No_Error_Present
what is ?	pron|what-Int-S1 aux|be-Fin-Ind-Pres-S3 ?	No_Error_Present
who is ?	pron|who-Int aux|be-Fin-Ind-Pres-S3 ?	No_Error_Present
<we can't> [//] I can't put this trailer on .	pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|put-Inf-S det|this-Def-Dem-Sing noun|trailer-Acc adp|on .	No_Error_Present
now it's shutting time now it [/] it is time to shut .	adv|now pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|shut-Part-Pres-S noun|time-Acc adv|now pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 noun|time part|to verb|shut-Inf-S .	No_Error_Present
<it's not> [/] it's not shutting time yet but I just need this trailer on .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not verb|shut-Part-Pres-S noun|time-Acc adv|yet cconj|but pron|I-Prs-Nom-S1 adv|just verb|need-Fin-Ind-Pres-S1 det|this-Def-Dem-Sing noun|trailer-Acc adp|on .	No_Error_Present
mum that saucer was in there !	noun|mum sconj|that noun|saucer aux|be-Fin-Ind-Past-S3-irr adp|in adv|there !	No_Error_Present
yeah it was in there .	intj|yeah pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr adp|in adv|there .	No_Error_Present
no them [/] <them are> [/] them are still clean .	det|no-Def-Neg pron|they-Prs-Acc-P3 aux|be-Fin-Ind-Pres-P3 adv|still adj|clean-S1 .	No_Error_Present
<no he's> [/] no <he's not taking> [/] he's not taking them now (.) mum .	intj|no pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not verb|take-Part-Pres-S pron|they-Prs-Acc-P3 adv|now noun|mum .	No_Error_Present
them just (.) them on a road .	pron|they-Prs-Acc-P3 adv|just pron|they-Prs-Acc-P3 adp|on det|a-Ind-Art noun|road .	No_Error_Present
yes I do really .	intj|yes pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1 adv|really .	No_Error_Present
mum let's just to carry on playing this .	noun|mum verb|let-Fin-Imp-S~pron|we-Prs-Acc-P1 adv|just part|to verb|carry-Inf-S sconj|on verb|play-Part-Pres-S pron|this-Dem-S1 .	No_Error_Present
shall I ?	aux|shall-Fin-S pron|I-Prs-Nom-S1 ?	No_Error_Present
mum when [/] when we are going to Dave party ?	noun|mum adv|when pron|we-Prs-Nom-P1 aux|be-Fin-Ind-Pres-P1 verb|go-Part-Pres-S adp|to propn|Dave noun|party ?	No_Error_Present
did you go to Tate [: Kate] ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|go-Inf-S adp|to propn|Kate ?	No_Error_Present
did you go to Tate [: Kate] ? [+ srp]	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|go-Inf-S adp|to propn|Kate ?	No_Error_Present
did you go to Tate [: Kate] just ?	aux|do-Fin-Ind-Past-S2-irr pron|you-Prs-Nom-S2 verb|go-Inf-S adp|to propn|Kate adv|just ?	No_Error_Present
it's not same light though &~uhn is it ?	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not adj|same-S1 noun|light adv|though aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?	No_Error_Present
no it's not (.) it's got one of them at the bottom .	intj|no pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S-irr num|one adp|of pron|they-Prs-Acc-P3 adp|at det|the-Def-Art noun|bottom .	No_Error_Present
I wanna go to Dave's party now .	pron|I-Prs-Nom-S1 aux|wanna-Fin-S verb|go-Fin-S adp|to propn|Dave~part|s noun|party adv|now .	No_Error_Present
it's opening time now .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|open-Part-Pres-S noun|time-Acc adv|now .	No_Error_Present
<it's just> [/] it's just xxx time .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|just noun|time .	No_Error_Present
now can you help me stack these chairs up ?	adv|now aux|can-Fin-S pron|you-Prs-Nom-S2 verb|help-Inf-S pron|I-Prs-Acc-S1 verb|stack-Inf-S det|this-Def-Dem-Plur noun|chair-Plur-Acc adp|up ?	No_Error_Present
yes you can xxx sometimes you're not xxx .	intj|yes pron|you-Prs-Nom-S2 aux|can-Fin-S adv|sometimes pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 part|not .	No_Error_Present
mum when Tate [: Kate] won't tome [: come] to me ?	noun|mum adv|when propn|Kate aux|will-Fin-S~part|not verb|come-Inf-S adp|to pron|I-Prs-Acc-S1 ?	No_Error_Present
when Kate's not tomin [: coming] to me ?	adv|when propn|Kate~aux|be-Fin-Ind-Pres-S3 part|not verb|come-Part-Pres-S adp|to pron|I-Prs-Acc-S1 ?	No_Error_Present
<when I> [/] when I'm seven ?	adv|when pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 num|seven ?	No_Error_Present
you didn't know &~uhn did we ?	pron|you-Prs-Nom-S2 aux|do-Fin-Ind-Past-S2-irr~part|not verb|know-Inf-S aux|do-Fin-Ind-Past-P3-irr pron|we-Prs-Nom-P1 ?	No_Error_Present
ahhah &-er <I (for)got> [/] I (for)got all (a)bout that one over there .	intj|ahhah pron|I-Prs-Nom-S1 verb|forget-Fin-Ind-Past-S1-irr det|all-Def-Tot adp|about det|that-Def-Dem-Sing noun|one adp|over adv|there .	No_Error_Present
&-er yeah yeah we [/] <we didn't> [/] we didn't use them .	intj|yeah intj|yeah pron|we-Prs-Nom-P1 aux|do-Fin-Ind-Past-P1-irr~part|not verb|use-Inf-S pron|they-Prs-Acc-P3 .	No_Error_Present
I'm phoning you .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|phone-Part-Pres-S pron|you-Prs-Acc-S2 .	No_Error_Present
oh <I was just> [/] I was just xxx .	intj|oh pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Past-S1-irr adv|just .	No_Error_Present
it's [/] it's Luke who work at cafe .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 propn|Luke pron|who-Rel verb|work-Fin-Ind-Pres-P3 adp|at noun|cafe .	No_Error_Present
it's shutting time .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|shut-Part-Pres-S noun|time-Acc .	No_Error_Present
&-um no &-er no I'm not playing with it now .	intj|no intj|no pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not verb|play-Part-Pres-S adp|with pron|it-Prs-Acc-S3 adv|now .	No_Error_Present
it is shutting xxx .	pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 verb|shut-Part-Pres-S .	No_Error_Present
it's [/] it's time to shut now .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 noun|time part|to verb|shut-Inf-S adv|now .	No_Error_Present
yeah it soon will be ten o'clock .	intj|yeah pron|it-Prs-Nom-S3 adv|soon aux|will-Fin-S aux|be-Inf-S num|ten noun|oclock .	No_Error_Present
&-er that's [/] that's nearly bed time .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 adv|nearly adj|bed-S1 noun|time .	No_Error_Present
I'm glad I phoned you mum .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|glad-S1 pron|I-Prs-Nom-S1 verb|phone-Fin-Ind-Past-S1 pron|you-Prs-Acc-S2 noun|mum-Acc .	No_Error_Present
mum &-er &-um I think I phone you when you're not playing it .	noun|mum pron|I-Prs-Nom-S1 verb|think-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 verb|phone-Fin-Ind-Pres-S1 pron|you-Prs-Acc-S2 adv|when pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 part|not verb|play-Part-Pres-S pron|it-Prs-Acc-S3 .	No_Error_Present
night_night bug bugs don't bite .	adj|nightnight-S1 noun|bug noun|bug-Plur aux|do-Fin-Ind-Pres-P3~part|not verb|bite-Inf-S .	No_Error_Present
I'm fed up .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|feed-Part-Past-S-irr adp|up .	No_Error_Present
I'm [//] I am .	pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Pres-S1 .	No_Error_Present
&~a:h we hafta do that &~uhn haven't we ?	pron|we-Prs-Nom-P1 aux|hafta-Fin-Ind-Pres-P1 verb|do-Fin-Ind-Pres-P1 pron|that-Dem aux|have-Fin-Ind-Pres-P3~part|not pron|we-Prs-Nom-P1 ?	No_Error_Present
who's done that mess ?	pron|who-Int~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Past-S-irr det|that-Def-Dem-Sing noun|mess-Acc ?	No_Error_Present
no it was Luke !	intj|no pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr propn|Luke !	No_Error_Present
can I pull it really hard ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|pull-Inf-S pron|it-Prs-Acc-S3 adv|really adv|hard ?	No_Error_Present
yeah it does .	intj|yeah pron|it-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3 .	No_Error_Present
I was just at my friend's tidying up <at his> [/] at his house .	pron|I-Prs-Nom-S1 aux|be-Fin-Ind-Past-S1-irr adv|just adp|at pron|my-Prs-Gen-S1 noun|friend~part|s noun|tidying-Ger adp|up adp|at pron|his-Prs-Gen-S3 noun|house .	No_Error_Present
I'm shattered .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|shattered-S1 .	No_Error_Present
nowhere <I'm just> [/] I'm just going stay at home all day .	adv|nowhere pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|just verb|go-Part-Pres-S verb|stay-Inf-S adp|at noun|home det|all-Def-Tot noun|day .	No_Error_Present
what is not xxx ?	pron|what-Int-S1 aux|be-Fin-Ind-Pres-S3 part|not ?	No_Error_Present
I don't .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not .	No_Error_Present
where which one ?	adv|where det|which-Def-Int noun|one ?	No_Error_Present
now show me these now .	adv|now verb|show-Fin-Imp-S pron|I-Prs-Acc-S1 pron|this-Dem-P1 adv|now .	No_Error_Present
put them next to each other .	verb|put-Fin-Imp-S pron|they-Prs-Acc-P3 adv|next adp|to det|each-Def-Rcp adj|other-S1 .	No_Error_Present
can I have it ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|have-Inf-S pron|it-Prs-Acc-S3 ?	No_Error_Present
what's this ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?	No_Error_Present
can I open it up ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|open-Inf-S pron|it-Prs-Acc-S3 adp|up ?	No_Error_Present
got it (.) oops .	verb|get-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adv|oops .	No_Error_Present
they're her boots .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 pron|her-Prs-Gen-S3 noun|boot-Plur .	No_Error_Present
we haven't (.) we never played with it .	pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1~part|not pron|we-Prs-Nom-P1 adv|never verb|play-Part-Past-S adp|with pron|it-Prs-Acc-S3 .	No_Error_Present
we haven't played with it &~uhn have we ?	pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1~part|not verb|play-Part-Past-S adp|with pron|it-Prs-Acc-S3 aux|have-Inf-S pron|we-Prs-Nom-P1 ?	No_Error_Present
we haven't played with it .	pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1~part|not verb|play-Part-Past-S adp|with pron|it-Prs-Acc-S3 .	No_Error_Present
we haven't played with it .	pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1~part|not verb|play-Part-Past-S adp|with pron|it-Prs-Acc-S3 .	No_Error_Present
can I try to take these off ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|try-Inf-S part|to verb|take-Inf-S pron|this-Dem-P1 adp|off ?	No_Error_Present
I thought they did .	pron|I-Prs-Nom-S1 verb|think-Fin-Ind-Past-S1-irr pron|they-Prs-Nom-P3 aux|do-Fin-Ind-Past-P3-irr .	No_Error_Present
xxx glue them back on .	verb|glue-Fin-Imp-S pron|they-Prs-Acc-P3 adv|back adp|on .	No_Error_Present
&-er <I have> [/] I have lost it somewhere .	pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1 verb|lose-Part-Past-S-irr pron|it-Prs-Acc-S3 adv|somewhere .	No_Error_Present
can I have this one then ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|have-Inf-S det|this-Def-Dem-Sing noun|one-Acc adv|then ?	No_Error_Present
mum xxx put xxx some ball in that thingy yeah <in that> [/] in that (.) don't know what Forest is now .	noun|mum verb|put-Fin-Ind-Past-S3-irr det|some-Def-Ind noun|ball-Acc adp|in det|that-Def-Dem-Sing noun|thingy intj|yeah adp|in pron|that-Rel aux|do-Fin-Ind-Pres-P3~part|not verb|know-Inf-S det|what-Def-Int propn|Forest aux|be-Fin-Ind-Pres-S3 adv|now .	No_Error_Present
I [/] I wish we could go right now .	pron|I-Prs-Nom-S1 verb|wish-Fin-Ind-Pres-S1 pron|we-Prs-Nom-P1 aux|could-Fin-S verb|go-Inf-S adv|right adv|now .	No_Error_Present
I wanna have chicken nuggets .	pron|I-Prs-Nom-S1 aux|wanna-Fin-Ind-Pres-S1 verb|have-Fin-Ind-Pres-S1 noun|chicken noun|nugget-Plur-Acc .	No_Error_Present
yeah can you remember ?	intj|yeah aux|can-Fin-S pron|you-Prs-Nom-S2 verb|remember-Inf-S ?	No_Error_Present
can I have this ?	aux|can-Fin-S pron|I-Prs-Nom-S1 verb|have-Inf-S pron|this-Dem-S1 ?	No_Error_Present
we haven't .	pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1~part|not .	No_Error_Present
they're all gone .	pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|all adj|gone-S1 .	No_Error_Present
where &-er xxx xxx xxx in my garage .	adv|where adp|in pron|my-Prs-Gen-S1 noun|garage .	No_Error_Present
wanna play with it in here .	intj|wanna verb|play-Fin-Imp-S adp|with pron|it-Prs-Acc-S3 adp|in adv|here .	No_Error_Present
Kate we've got picture .	propn|Kate pron|we-Prs-Nom-P1~aux|have-Fin-Ind-Pres-P1 verb|get-Part-Past-S-irr noun|picture-Acc .	No_Error_Present
it's mummy when she was a little girl .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 noun|mummy adv|when pron|she-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3-irr det|a-Ind-Art adj|little-S1 noun|girl .	No_Error_Present
it's a boy ?	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|boy ?	No_Error_Present
i(t)'s a mummy .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|mummy .	No_Error_Present
tha(t) is xxx uhoh !	pron|that-Dem aux|be-Fin-Ind-Pres-S3 adj|uhoh-S1 !	No_Error_Present
&~a:h (l)ook i(t)'s a +...	verb|look-Fin-Imp-S pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art +...	No_Error_Present
++ look i(t)'s a +...	verb|look-Fin-Imp-S pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art +...	No_Error_Present
i(t)'s a man .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|man .	No_Error_Present
i(t)'s ladies .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 noun|lady-Plur .	No_Error_Present
dis [: this] is tair [: chair] .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 noun|chair .	No_Error_Present
dis [: this] is spoon [/] this is .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 .	No_Error_Present
<dis [: this] is fall down> [>] .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 verb|fall-Inf-S adp|down .	No_Error_Present
dis [: this] fall down .	det|this-Def-Dem-Sing noun|fall adv|down .	No_Error_Present
(wh)at's (th)at ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|that-Dem ?	No_Error_Present
it's a f(l)ower ?	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|flower ?	No_Error_Present
where's dis [: this] cup .	adv|where~aux|be-Fin-Ind-Pres-S3 det|this-Def-Dem-Sing noun|cup .	No_Error_Present
wanna sit down (be)cause he's a boy .	intj|wanna verb|sit-Fin-Imp-S adp|down sconj|because pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|boy .	No_Error_Present
all fall down .	det|all-Def-Tot noun|fall adv|down .	No_Error_Present
(th)at's a (s)poon .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|spoon .	No_Error_Present
what are these on dere [: there] ?	pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 pron|this-Dem-P1 adp|on adv|there ?	No_Error_Present
pu(t) dat [: that] on dere [: there] (.) look .	verb|put-Fin-Imp-S pron|that-Dem adp|on adv|there verb|look-Fin-Imp-S .	No_Error_Present
(th)at's a Barbie .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art propn|Barbie .	No_Error_Present
(th)at's a table .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|table .	No_Error_Present
(th)at's a table fall down .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|table noun|fall adv|down .	No_Error_Present
it fa(ll) yoger [: over] (a)gain .	pron|it-Prs-Nom-S3 verb|fall-Fin-Ind-Pres-S3 adp|over adv|again .	No_Error_Present
los(t) it in dere [: there] .	verb|lose-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adp|in adv|there .	No_Error_Present
where's ice gem [: cream] ?	adv|where~aux|be-Fin-Ind-Pres-S3 noun|ice noun|cream ?	No_Error_Present
dis [: this] is chair for boy .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 noun|chair adp|for noun|boy .	No_Error_Present
(th)is is f(l)ower .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 noun|flower .	No_Error_Present
&~a:h is nice f(l)owe(r) for bady [: lady] .	aux|be-Fin-Ind-Pres-S3 adj|nice-S1 noun|flower adp|for noun|lady .	No_Error_Present
is it xxx ?	aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?	No_Error_Present
(t)handee [: thank you very] much .	verb|thank-Fin-Ind-Pres-S1 pron|you-Prs-Acc-S2 adv|very adv|much .	No_Error_Present
dis [: this] is one two three .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 num|one num|two num|three .	No_Error_Present
(th)is is de [: the] (th)ree p(l)ate .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|the-Def-Art num|three noun|plate .	No_Error_Present
it's Coke juice .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 propn|Coke noun|juice .	No_Error_Present
now put you(r) peet [: feet] up when you finish yo(ur) .	adv|now verb|put-Fin-Imp-S pron|your-Prs-Gen-S2 noun|foot-Plur-Acc adp|up adv|when pron|you-Prs-Nom-S2 verb|finish-Fin-Ind-Pres-S2 pron|your-Prs-Gen-S2 .	No_Error_Present
out here when dey [: they] got st(r)awberries .	adv|out adv|here adv|when pron|they-Prs-Nom-P3 verb|get-Fin-Ind-Past-P3-irr noun|strawberry-Plur-Acc .	No_Error_Present
(wh)at's (th)at ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|that-Dem ?	No_Error_Present
&-er now (.) put it on a p(l)ate .	adv|now verb|put-Fin-Imp-S pron|it-Prs-Acc-S3 adp|on det|a-Ind-Art noun|plate .	No_Error_Present
i(t)'s danda [: grandpa] .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 noun|grandpa .	No_Error_Present
kee [: cake] come now .	noun|cake verb|come-Fin-S adv|now .	No_Error_Present
xxx now xxx lady .	adv|now noun|lady .	No_Error_Present
don('t) put de [: the] piece off .	aux|do-Fin-Imp-S~part|not verb|put-Fin-Imp-S det|the-Def-Art noun|piece-Acc adp|off .	No_Error_Present
sank [: thanks] ve(ry) mu(ch) .	noun|thanks adv|very adv|much .	No_Error_Present
everybody's cake gone away .	pron|everybody-Tot-S1~aux|be-Fin-Ind-Pres-S3 noun|cake verb|go-Part-Past-S-irr adv|away .	No_Error_Present
not in de [: the] way now .	part|not adp|in det|the-Def-Art noun|way adv|now .	No_Error_Present
&~aw dis [: this] fall down (.) again .	det|this-Def-Dem-Sing noun|fall adp|down adv|again .	No_Error_Present
